City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,enewetak,11.3474,162.3373,28.47,78,91,5.21,MH,1689885107
1,edinburgh of the seven seas,-37.0676,-12.3116,11.74,59,24,9.96,SH,1689885110
2,college,64.8569,-147.8028,19.18,90,100,1.54,US,1689885133
3,serafimovich,49.5786,42.736,18.94,57,27,2.11,RU,1689885213
4,tazovsky,67.4667,78.7,17.14,75,57,4.34,RU,1689885134
5,benton,36.3334,-94.3335,34.16,64,0,2.57,US,1689885213
6,adamstown,-25.066,-130.1015,22.01,87,100,17.25,PN,1689885108
7,papatowai,-46.5619,169.4708,5.43,71,8,8.54,NZ,1689885110
8,waitangi,-43.9535,-176.5597,7.12,94,99,0.89,NZ,1689885108
9,andergrove,-21.0833,149.1833,17.54,84,32,2.84,AU,1689885213
10,hamilton,39.1834,-84.5333,32.92,66,75,7.2,US,1689885004
11,udachny,66.4167,112.4,11.92,100,84,0.24,RU,1689885131
12,anadyr,64.75,177.4833,12.28,93,100,3.58,RU,1689885131
13,benguela,-12.5763,13.4055,19.1,84,44,1.05,AO,1689885213
14,krasnokamensk,50.0979,118.0369,15.22,58,97,0.44,RU,1689885213
15,chebba,35.2372,11.115,29.68,64,0,2.77,TN,1689885214
16,grytviken,-54.2811,-36.5092,-2.7,86,97,1.75,GS,1689885105
17,hawaiian paradise park,19.5933,-154.9731,25.41,89,100,2.57,US,1689885106
18,puerto ayora,-0.7393,-90.3518,31.98,91,54,4.47,EC,1689885114
19,chulakkurgan,43.765,69.1814,26.55,25,27,5.08,KZ,1689885214
20,port-aux-francais,-49.35,70.2167,1.85,56,87,17.31,TF,1689885106
21,atafu village,-8.5421,-172.5159,28.32,77,20,4.93,TK,1689885133
22,remire-montjoly,4.9167,-52.2667,26.02,89,75,4.63,GF,1689885182
23,puerto natales,-51.7236,-72.4875,0.74,97,100,3.64,CL,1689885110
24,santo domingo petapa,16.8181,-95.1403,31.07,57,24,6.01,MX,1689885214
25,colonia,50.9333,6.95,21.08,59,0,2.06,DE,1689885196
26,saipan,15.1355,145.701,28.39,100,0,3.6,MP,1689885123
27,piti village,13.4626,144.6933,28.27,85,0,2.06,GU,1689885214
28,choibalsan,48.0667,114.5,16.46,70,100,3.6,MN,1689885214
29,port elizabeth,-33.918,25.5701,12.16,58,75,5.66,ZA,1689885128
30,blackmans bay,-43.0167,147.3167,4.18,84,26,2.93,AU,1689885114
31,bredasdorp,-34.5322,20.0403,8.99,75,0,4.86,ZA,1689885111
32,maxixe,-23.8597,35.3472,19.17,72,100,7.93,MZ,1689885215
33,sovetskaya gavan',48.9723,140.2878,19.08,90,28,1.77,RU,1689885215
34,santyoku,37.4406,129.1708,22.82,89,4,0.93,KR,1689885215
35,happy valley-goose bay,53.3168,-60.3315,24.17,43,75,6.69,CA,1689884901
36,bilibino,68.0546,166.4372,16.76,59,89,1.24,RU,1689885115
37,guerrero negro,27.9769,-114.0611,25.16,60,14,8.12,MX,1689885215
38,acarau,-2.8856,-40.12,25.88,71,1,7.78,BR,1689885126
39,kvissleby,62.2936,17.375,14.91,94,100,1.83,SE,1689885030
40,mutuali,-14.8706,37.0044,20.16,70,88,3.16,MZ,1689885215
41,harstad,68.799,16.5293,13.66,100,39,3.13,NO,1689885215
42,calingasta,-31.3308,-69.4078,21.09,11,98,1.56,AR,1689885215
43,manokwari,-0.8667,134.0833,25.56,80,14,2.1,ID,1689885115
44,nova sintra,14.8667,-24.7167,24.06,77,29,2.91,CV,1689885177
45,torghay,49.6339,63.4981,20.57,65,53,3.36,KZ,1689885215
46,visavadar,21.3833,70.6833,25.4,95,100,2.8,IN,1689885216
47,bethel,41.3712,-73.414,30.26,61,40,2.06,US,1689885106
48,chibougamau,49.9168,-74.3659,19.79,64,100,1.67,CA,1689885112
49,kavieng,-2.5744,150.7967,27.67,78,20,3.68,PG,1689885158
50,badger,64.8,-147.5333,19.14,89,100,1.54,US,1689885128
51,aasiaat,68.7098,-52.8699,4.57,95,97,5.0,GL,1689885115
52,crane,31.3974,-102.3501,37.44,19,100,7.61,US,1689884987
53,ilulissat,69.2167,-51.1,8.01,93,75,3.6,GL,1689885109
54,albany,42.6001,-73.9662,30.51,41,34,2.03,US,1689885113
55,noumea,-22.2763,166.4572,21.11,99,85,3.85,NC,1689885216
56,wailua homesteads,22.0669,-159.378,27.44,70,100,9.26,US,1689885129
57,iqaluit,63.7506,-68.5145,5.85,100,100,2.57,CA,1689885012
58,caleta de carquin,-11.0925,-77.6267,21.44,70,7,3.92,PE,1689885177
59,tolanaro,-25.0319,46.9987,20.04,94,40,2.06,MG,1689885106
60,lihue,21.9789,-159.3672,27.77,71,100,9.26,US,1689884844
61,ancud,-41.8697,-73.8203,10.95,89,46,8.59,CL,1689885177
62,utrik,11.2278,169.8474,28.53,80,75,8.53,MH,1689885107
63,laguna,38.421,-121.4238,38.94,30,0,3.6,US,1689885217
64,orchard homes,46.8633,-114.0484,33.84,19,0,2.06,US,1689885217
65,invercargill,-46.4,168.35,0.01,99,6,0.89,NZ,1689885111
66,cannonvale,-20.2833,148.7,19.66,83,25,3.8,AU,1689885191
67,nouadhibou,20.931,-17.0347,21.99,83,6,8.75,MR,1689885217
68,sol'-iletsk,51.1631,54.9918,18.05,54,19,3.12,RU,1689885217
69,selfoss,63.9331,-20.9971,13.36,85,98,3.98,IS,1689885112
70,longyearbyen,78.2186,15.6401,11.91,71,20,10.29,SJ,1689885122
71,vasil'yevo,55.836,48.6582,13.37,91,29,4.28,RU,1689885217
72,tarinkot,32.6268,65.8733,29.01,18,5,1.19,AF,1689885181
73,avarua,-21.2078,-159.775,22.03,56,40,3.6,CK,1689884915
74,puruandiro,20.0833,-101.5,25.66,46,99,0.32,MX,1689885218
75,lauro de freitas,-12.8944,-38.3272,27.01,69,40,4.63,BR,1689885218
76,vilyuysk,63.7553,121.6247,16.13,82,7,2.05,RU,1689885218
77,nova vicosa,-17.8919,-39.3719,22.61,86,100,7.03,BR,1689885099
78,whitehorse,60.7161,-135.0538,21.68,44,75,1.54,CA,1689884829
79,san patricio,28.017,-97.5169,38.42,40,3,7.08,US,1689885130
80,sojat,25.9167,73.6667,31.85,64,73,1.62,IN,1689885218
81,ushuaia,-54.8,-68.3,-0.19,93,100,2.57,AR,1689885123
82,adamovka,51.5223,59.9396,16.34,63,18,3.14,RU,1689885218
83,shimoda,34.6667,138.95,22.84,88,96,5.06,JP,1689885218
84,calvinia,-31.4707,19.776,5.26,58,0,7.91,ZA,1689885219
85,aksu,41.1231,80.2644,28.81,26,87,4.06,CN,1689885219
86,pisco,-13.7,-76.2167,22.03,68,0,5.14,PE,1689884947
87,quellon,-43.1167,-73.6167,13.14,76,75,5.66,CL,1689885219
88,lindisfarne,-42.8333,147.35,5.56,84,40,0.0,AU,1689885219
89,pacific grove,36.6177,-121.9166,25.68,85,75,4.92,US,1689885166
90,walvis bay,-22.9575,14.5053,11.53,87,0,1.54,NA,1689885140
91,kodiak,57.79,-152.4072,11.73,100,0,2.57,US,1689885173
92,rikaze,29.25,88.8833,15.23,46,31,1.65,CN,1689885219
93,okha,53.5739,142.9478,11.75,93,100,5.18,RU,1689885179
94,al ghayzah,16.2079,52.176,25.55,89,32,2.75,YE,1689885220
95,namibe,-15.1961,12.1522,18.66,76,94,1.32,AO,1689885115
96,tual,-5.6667,132.75,26.41,78,11,7.72,ID,1689885220
97,juneau,58.3019,-134.4197,19.5,91,75,3.6,US,1689885055
98,usinsk,65.9939,57.5281,17.51,82,51,3.45,RU,1689885220
99,fisterra,42.9049,-9.2629,18.52,85,0,2.37,ES,1689885220
100,jamestown,42.097,-79.2353,26.8,57,75,3.09,US,1689884985
101,lata,40.1629,-8.3327,19.34,96,4,1.61,PT,1689885133
102,afaahiti,-17.75,-149.2833,24.93,64,21,8.09,PF,1689885115
103,margaret river,-33.95,115.0667,14.63,69,40,9.12,AU,1689885109
104,west island,-12.1568,96.8225,24.99,73,40,5.66,CC,1689885107
105,sinabang,2.4803,96.3801,25.58,82,100,1.31,ID,1689885179
106,yellowknife,62.456,-114.3525,27.29,36,100,4.63,CA,1689885124
107,ketchikan,55.3422,-131.6461,18.26,77,20,4.63,US,1689885114
108,floro,61.5996,5.0328,11.98,87,100,3.09,NO,1689885220
109,rio grande,-32.035,-52.0986,16.06,93,100,4.41,BR,1689885096
110,ribeira grande,38.5167,-28.7,22.22,94,20,2.57,PT,1689885106
111,turbat,26.0023,63.044,29.93,69,100,3.49,PK,1689885221
112,hithadhoo,-0.6,73.0833,28.05,76,25,8.35,MV,1689885192
113,st. thomas,42.7736,-81.1804,25.13,78,70,7.29,CA,1689885221
114,fedorovskiy,45.0972,40.9517,18.71,51,0,3.12,RU,1689885221
115,trairi,-3.2778,-39.2689,25.67,68,2,6.12,BR,1689885221
116,ewo,-0.8725,14.8206,28.07,47,87,1.71,CG,1689885221
117,korsakov,46.6328,142.7813,15.91,94,61,2.54,RU,1689885221
118,villarrobledo,39.2699,-2.6012,28.77,15,0,5.13,ES,1689884977
119,dudinka,69.4058,86.1778,15.9,98,54,4.13,RU,1689885168
120,as-suwayda,32.709,36.5695,23.63,25,0,1.97,SY,1689885221
121,berezovyy,51.6667,135.7,23.26,64,70,0.76,RU,1689885179
122,kurayoshi,35.4333,133.8167,21.64,89,71,0.93,JP,1689885222
123,forbes,-33.3833,148.0167,9.4,94,95,1.44,AU,1689885222
124,turkmenbasy,40.0222,52.9552,27.43,29,0,3.09,TM,1689885222
125,kailua-kona,19.6406,-155.9956,28.98,89,40,5.66,US,1689885158
126,palmer,42.1584,-72.3287,30.9,39,20,1.54,US,1689884994
127,fort mcmurray,56.7268,-111.381,25.77,47,0,2.57,CA,1689885222
128,puerto baquerizo moreno,-0.9,-89.6,27.55,78,40,5.66,EC,1689885171
129,tarazona,41.9,-1.7333,20.9,69,0,5.79,ES,1689885222
130,saurimo,-9.6608,20.3916,21.27,31,34,1.91,AO,1689885222
131,gereida,11.2811,25.1414,27.1,61,20,4.85,SD,1689885222
132,bardai,11.65,7.2333,24.78,78,100,4.38,NG,1689885197
133,tiksi,71.6872,128.8694,7.29,63,26,7.13,RU,1689885106
134,hobyo,5.3505,48.5268,25.42,82,97,12.6,SO,1689885222
135,kwang binh,17.4833,106.6,26.36,89,98,1.05,VN,1689885222
136,lebu,-37.6167,-73.65,12.55,95,100,7.67,CL,1689885135
137,nar'yan-mar,67.6713,53.087,11.58,91,100,6.34,RU,1689885176
138,new norfolk,-42.7826,147.0587,5.4,93,58,1.33,AU,1689885223
139,mananara,-16.1667,49.7667,22.18,91,100,2.25,MG,1689885223
140,antofagasta,-23.65,-70.4,18.6,72,16,2.2,CL,1689884957
141,kingston,17.997,-76.7936,30.53,74,40,7.2,JM,1689884985
142,altamont,42.2068,-121.7372,32.44,31,0,1.79,US,1689885223
143,san pedro de ycuamandiyu,-24.0917,-57.0764,28.67,43,71,2.09,PY,1689885223
144,mejit,10.2753,170.8646,28.32,81,91,8.23,MH,1689885195
145,camiri,-20.05,-63.5167,27.88,39,0,0.0,BO,1689885223
146,urzhar,47.093,81.6294,21.73,49,0,2.37,KZ,1689885015
147,ta`u,-14.2336,-169.5144,26.53,77,91,9.54,AS,1689885184
148,thompson,55.7435,-97.8558,26.09,34,75,3.6,CA,1689885114
149,brookings,44.3114,-96.7984,25.66,56,40,5.66,US,1689885112
150,isafjordur,66.0755,-23.124,11.45,72,41,1.06,IS,1689885115
151,bull savanna,17.8868,-77.5902,30.02,64,16,10.25,JM,1689885224
